Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,CACC,CACC,CACC,CACC,CACC,
Date,,,,,,
2000-04-14,5.0625,5.375,4.875,4.9375,57000,0.01242251999855711
2000-04-17,4.875,5.1875,4.65625,4.875,39200,-0.037740327982847086
2000-04-18,5.25,5.25,4.765625,4.828125,27200,0.07410797215372183
2000-04-19,4.875,5.4375,4.875,5.375,16300,-0.07410797215372185
2000-04-20,5.25,5.5,5.0,5.0,54800,0.07410797215372183
2000-04-24,5.125,5.125,4.65625,4.65625,14600,-0.02409755157906053
2000-04-25,5.0,5.125,4.75,4.875,6900,-0.02469261259037152
2000-04-26,5.09375,5.125,4.75,4.75,55700,0.018576385572935457
2000-04-27,5.0625,5.21875,4.8125,4.9375,86400,-0.0061538655743782235
2000-04-28,5.25,5.25,4.875,4.875,13600,0.03636764417087479
2000-05-01,5.125,5.1875,4.875,4.875,187200,-0.02409755157906053
2000-05-02,5.0,5.25,4.96875,4.96875,28600,-0.02469261259037152
2000-05-03,5.4375,5.4375,5.0625,5.125,30100,0.08388148398070203
2000-05-04,5.25,5.5,5.25,5.5,55800,-0.03509131981127006
2000-05-05,5.4375,5.5,5.375,5.4375,89200,0.03509131981127019
2000-05-08,5.375,5.5,5.3125,5.3125,10200,-0.011560822401075971
2000-05-09,5.53125,5.75,5.40625,5.5,22100,0.02865525576037615
2000-05-10,5.4375,5.75,5.4375,5.46875,2700,-0.017094433359300068
2000-05-11,5.4375,5.4375,5.4375,5.4375,1200,0.0
2000-05-12,5.40625,5.75,5.375,5.375,6200,-0.0057637047167501294
2000-05-15,5.4375,5.8125,5.375,5.375,11500,0.005763704716750134
2000-05-16,5.6875,5.75,5.5625,5.671875,9300,0.04495138786226627
2000-05-17,5.625,5.6875,5.375,5.375,19600,-0.011049836186584935
2000-05-18,5.59375,5.6875,5.4375,5.4375,23100,-0.00557104504945536
2000-05-19,5.5,5.5625,5.25,5.34375,15500,-0.016901810802603254
2000-05-22,5.625,5.6875,5.375,5.375,11900,0.022472855852058576
2000-05-23,5.375,5.5625,5.375,5.375,7600,-0.04546237407675729
2000-05-24,5.375,5.5625,5.125,5.375,47400,0.0
2000-05-25,5.375,5.4375,5.375,5.375,111700,0.0
2000-05-26,5.375,5.5,5.25,5.375,15900,0.0
2000-05-30,5.375,5.375,5.375,5.375,12400,0.0
2000-05-31,5.5,5.75,5.25,5.25,15600,0.02298951822469878
2000-06-01,5.5625,5.625,5.4375,5.46875,36000,0.011299555253933466
2000-06-02,5.75,5.75,5.5,5.53125,34300,0.03315220731690055
2000-06-05,5.25,5.625,5.25,5.625,10700,-0.09097177820572676
2000-06-06,5.5,5.625,5.375,5.625,254900,0.04652001563489291
2000-06-07,5.0,5.375,5.0,5.375,87200,-0.0953101798043249
2000-06-08,4.9375,5.5,4.875,5.25,163300,-0.012578782206860073
2000-06-09,5.6875,5.75,5.0,5.0,86700,0.14141165404982847
2000-06-12,5.5,5.5,5.5,5.5,2000,-0.03352269203864356
2000-06-13,5.4375,5.5,5.125,5.125,12400,-0.011428695823622744
2000-06-14,5.375,5.375,5.375,5.375,5100,-0.011560822401075971
2000-06-15,5.75,5.75,5.125,5.125,179200,0.06744128079553248
2000-06-16,5.65625,5.75,5.5,5.75,147700,-0.016438726343159835
2000-06-19,5.59375,5.6875,5.5,5.5625,48200,-0.011111225425070722
2000-06-20,5.5625,5.625,5.5,5.5625,22900,-0.005602255548669898
2000-06-21,5.4375,5.625,5.4375,5.5625,45200,-0.022728251077556175
2000-06-22,5.4375,5.5625,5.375,5.46875,199300,0.0
